pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,832.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,842.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,851.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,854.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,850.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,840.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,834.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,836.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,847.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,855.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,859.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,855.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,846.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,841.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,843.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,853.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,861.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,866.83
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,861.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,852.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,847.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,850.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,861.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,871.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,874.5
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,870.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,862.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,857.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,860.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,871.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,885.02
